countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
United States,Labor Day,Labor Day,true,US,1979-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1989-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2051-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1992-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2002-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2091-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2092-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1981-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1999-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2040-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2061-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2082-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2096-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1990-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2033-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2058-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2076-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2072-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2098-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2036-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2069-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2028-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2074-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1973-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1998-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2022-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2054-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2085-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2019-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2049-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2088-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1991-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2080-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2086-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1986-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2010-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1972-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1976-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2079-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2090-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1995-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2000-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2013-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2025-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1982-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1994-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2023-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2032-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2044-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2093-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2007-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2030-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1980-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1993-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2097-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2003-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1996-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2005-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2031-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2034-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2068-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2052-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2046-09-03 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1975-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1983-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2006-09-04 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2075-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2081-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1985-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2039-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2089-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2008-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2066-09-06 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,1997-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2014-09-01 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2047-09-02 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2067-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2037-09-07 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2016-09-05 00:00:00 UTC
United States,Labor Day,Labor Day,true,US,2027-09-06 00:00:00 UTC
